problem_set_number: 0
 values: [440,740,114,834,667,844,716,395,336]

-problem: 185
 values: [815,867,246,640,781,319,941,674,286,755,370,802]

-problem: 186
 values: [60]

-problem: 187
 values: [185,105,607,894,429,745,649,186,346,344,584,386,530,51,189,288,72,192,347]

-problem: 188
 values: [547,153,463,613,858,184,95,651]

-problem: 189
 values: [727,441,173,478,768,4,448]

-problem: 190
 values: [473,523,559,819,208,697,470,682,591,972,268,387,329,382,632,337]

-problem: 191
 values: [209,305,282,680,240,167,769,523,538,439,691,1000,736,412]

-problem: 192
 values: [39,970,879,474,968]

-problem: 193
 values: [938,470,629,510,682,797,145,140,439,860,793,554,607,476,213,262]

-problem: 194
 values: [254,203,587,750,780,519]

-problem: 195
 values: [600,996,281,613,500,464,855,93,846]

-problem: 196
 values: [440,509,374,344,133,390,518,518,762,372,186,473,136,598,531,895,794,245,360,408]

-problem: 197
 values: [232,198,153,489,246,652,33,289,28,142,821,746,935,803,850,922,142,431,332]

-problem: 198
 values: [784,858,620,181,678,295,402,729,991,345,225,210,463,511,499]

-problem: 199
 values: [895,189,735]

-problem: 200
 values: [27,273,51,432,944,923,957,255,511,990,265,61,389]

-problem: 201
 values: [680,250,572,212,394]

-problem: 202
 values: [9,369,31,318]

-problem: 203
 values: [174,933,386,495]

-problem: 204
 values: [787,17]

-problem: 205
 values: [950,189,949,490,350,407,581,265,280,137,987,664,466,874]

-problem: 206
 values: [228,295,859,935,872,515,441,418,562,13,812,23,483,379,80,840,2,288]

-problem: 207
 values: [25,324,57,450,746,535,204,960,19,513,170,527,989,878,818,673,821,125]

-problem: 208
 values: [176,894,548,361,260,323,473,35,284,323,647,338,755,724,402,707,100,482,575,210]

-problem: 209
 values: [62,677,543]

-problem: 210
 values: [822,650,792,835,400,725,906,620]

-problem: 211
 values: [654,868,304,976,295,298,204,16,172,605,725,216,433,358,678,149,192,497,487,334]

-problem: 212
 values: [863,557,460,362,689,255,856,339,872]

-problem: 213
 values: [523,36,69]

-problem: 214
 values: [803,284,197,77,862,284,647,14,389,632,903,473,27,527,88,295,741,766,317]

-problem: 215
 values: [823,588,820,140,101,352,852,758,77,333,107,301,970,757,549,66]

-problem: 216
 values: [504,122,8,792,599,545,493,740,737,738,622,556]

-problem: 217
 values: [968,889]

-problem: 218
 values: [82,543,334,862,760,683,636,271,710,893,148,587,768,609,510]

-problem: 219
 values: [136,145,843,944,555,124,950,870,244,160,185,565,321,471,121,436,924,68]

-problem: 220
 values: [99,436,145,847,591,756,3,624,98,397,63,259,37,491]

-problem: 221
 values: [484,577,934,919,332,867]

-problem: 222
 values: [377,968,343,659,662,353,834,558,987,690,735,36,324,837,461]

-problem: 223
 values: [794,823,564,689,391,115,154,285,937]

-problem: 224
 values: [105,864,823,438,366,135,659,338,514,365,620,673,810,305,147,900,612,558,866]

-problem: 225
 values: [570,77,789,753,694,163,257,205,760,356,190,964,155,234,703,770,953,932,561,366]

-problem: 226
 values: [262,657,440,227,12]

-problem: 227
 values: [835,182,507,126,104,143,690,197]

-problem: 228
 values: [571,391,342,44,78,811,253,973]

-problem: 229
 values: [390,689,815,734,809,646,251,895,309,456,200,445,745,416,685]

-problem: 230
 values: [221,801,37,486,32,126,320,109,955,61,763]

-problem: 231
 values: [444,436,908,34,531,643,204,534,7,52,122,594,14,43,81,326,713,282,150,617]

-problem: 232
 values: [39,950,5,39,830,996,43,806,171,400,846,417,347,9,344,191,488]

-problem: 233
 values: [443,862,133,571,408,260,709]

-problem: 234
 values: [981,905,844,804,348,648,34,302,396,791,901,689,199,974,719,46,844,874,322]

-problem: 235
 values: [845,924,981,347,227,169,795,964,734,248,73,500,398,967]

-problem: 236
 values: [122,318,435,880,479,881,356,716]

-problem: 237
 values: [885,345,948,16,181,4,927,509,615,548,115,230,235,223,330]

-problem: 238
 values: [300,87,276,765,65,896,412]

-problem: 239
 values: [413,176,672,533,541,138,177,168,217,59]

-problem: 240
 values: [645,141,716,871,524,878,363,199,897,126,779,483,916,193]

-problem: 241
 values: [596,653,646,76,903,67,93,201,416,530,955,664,994,183,375,323]

-problem: 242
 values: [405,534,20,43,363,280,502,711,655,573,577,937,998,137,726,75,756]

-problem: 243
 values: [438,972,724,252,545,814,361,549,325,670,66,892,58,51,823,675,177,971]

-problem: 244
 values: [20,313,402,335,853,619]

-problem: 245
 values: [138,172,373,729,434,85,216,58]

-problem: 246
 values: [788]

-problem: 247
 values: [141,405,422,580,395,78,272,916,820,266,708,285,292,559,578,766]

-problem: 248
 values: [183,788,607,847]

-problem: 249
 values: [762]

-problem: 250
 values: [134,533,884,101]

-problem: 251
 values: [850,579,679]

-problem: 252
 values: [306,919,528]

-problem: 253
 values: [301,90]

-problem: 254
 values: [747,953,147,375,154]

-problem: 255
 values: [5]

-problem: 256
 values: [823,751,503,326,780,898,456,78,709,903,639,294,751,78,999,578,398,969,215]

-problem: 257
 values: [706,570,767,818,472,795,135,402,590,491,679,220,65,285,634]

-problem: 258
 values: [717,767,762,121,545,34,165,972,85,235,1000,194,524,22,838,392,692,654,117,114]

-problem: 259
 values: [338,951,561,505,372,327,777,768,251,292,809,706,813,740]

-problem: 260
 values: [672,462]

-problem: 261
 values: [577,199,714,66,93,860,260,95]

-problem: 262
 values: [406,300,271,10,376,350,787]

-problem: 263
 values: [341,671,978,862,287,67,736,73,474,969,814,389,82,60]

-problem: 264
 values: [186,607,685,799,75,356,118,289,239,926,706,11,225,550,201,786,621,76,675,112]

-problem: 265
 values: [48,188,413,390,290,947,741,278,41,94,103,713,937,383,108,476,861,283,581,81]

-problem: 266
 values: [521,408,235,215,523,416]

-problem: 267
 values: [833,536,866,951,792,427,446,59,478,61]

-problem: 268
 values: [949,26,583,772,589,425,228,831,923,803,694,459,572,839,560,976]

-problem: 269
 values: [776,186,214,197,793,580,745,321,607,57,325,334,476,951,64]

-problem: 270
 values: [765,412,873,374,68,789,854,50,885,434,96,606]

-problem: 271
 values: [281,227,834]

-problem: 272
 values: [72,271,308,913,740,215,108,655,935,587,67,47,606,296,119,133,474]

-problem: 273
 values: [96,804,327,559,260]

-problem: 274
 values: [891,782]

-problem: 275
 values: [809,403,203,921,915]

-problem: 276
 values: [147,584,107,32,299]

-problem: 277
 values: [536,786,229,418,483,511,557]

-problem: 278
 values: [536,382,468,204,884]

-problem: 279
 values: [741,377,450,388,520,274]

-problem: 280
 values: [21,179,616,936,973,756,872,910,633,712,440,965,260,257,150,23]

-problem: 281
 values: [932,680,527,925,780,53,207,381,544,341,563,291,586,443,309,31,764,19,248]

-problem: 282
 values: [421,214,534,628]

-problem: 283
 values: [286,869,233,148,830,378]

-problem: 284
 values: [993,763,220,955,336,742,57]

-problem: 285
 values: [534,382,75,263]

-problem: 286
 values: [265,934,993,458,702,881,256,479,505,521,993,407,956,428,374,974,168]

-problem: 287
 values: [1000,413,547,646,388,232,912,535,380,900,313,239,940,115,288]

-problem: 288
 values: [572,532,56,358,82,255,816]

-problem: 289
 values: [411]

-problem: 290
 values: [338,743,213,547,944]

-problem: 291
 values: [840]

-problem: 292
 values: [856,956,563,793,185,543,80,468,343,155,355,440,992,152,672,54,239,686,379]

-problem: 293
 values: [559,535,739,774,953,371,99,922,181,417,971,737]

-problem: 294
 values: [678,804,630,13,338,88,923,629,839,746,261,671,983,378]

-problem: 295
 values: [707,966,427,514,477]

-problem: 296
 values: [397,662,287,198,481,869,257,994,108,941,566,103,839,971,720,462,11,644]

-problem: 297
 values: [951,813,688,35,521,156,398,330,313]

-problem: 298
 values: [434,772,222,248,525,121]

-problem: 299
 values: [1,178,328,824,159,785,50,10,430,832,569,753,790,777]

-problem: 300
 values: [183,226,71,272,715,564,295]

-problem: 301
 values: [375,294,986,622,659,163,340,242]

-problem: 302
 values: [59,274,827,988,255,894,732,887,487,857,864,8,808,238,79,133,899,130,289,405]

-problem: 303
 values: [335,317,463,973,161,917,81,83,495,828,994,442,519,66]

-problem: 304
 values: [172,928,299,486,401,134,880,699,489,153,904]

-problem: 305
 values: [856,31,614,179,258,829,739,324,624,457]

-problem: 306
 values: [319,554,154,470,844]

-problem: 307
 values: [918,196,210,490,455,427,852,633]

-problem: 308
 values: [631,134,799,296,715,339,628]

-problem: 309
 values: [441,172,628,180,121,693,696,139,978,516,712,282,618,902,83,46]

-problem: 310
 values: [907,253,180,303,60,63,53,752,236,593,82,747,850,771,694]

-problem: 311
 values: [970,670,780,134,901]

-problem: 312
 values: [273,472,388,118,847,209,560,175]

-problem: 313
 values: [462,357,661,852,903,492,219,866,800,846,212,971]

-problem: 314
 values: [691,336,44,79,463,620,210,745]

-problem: 315
 values: [257,488,886,838,234,617,119,513,969,237,76,613,337]

-problem: 316
 values: [572,310,847,57,715,305,456,715,493,416,36,257]

-problem: 317
 values: [73,750,483,702,741,505,996,176,15,572,465,467,466,677,645,425,606,401,618,843]

-problem: 318
 values: [654,173,178,641,50,260,274,346,737,65,549,973,704,160,21,938,279,208,726]

-problem: 319
 values: [322,211,521,267,996,933,826,206,504,971,942,738,830,152]

-problem: 320
 values: [601,600,975,399,79,345,490,464,241,486,739]

-problem: 321
 values: [55,185,578,545,327,213,200,468,556,522,974,199,345,647,563]

-problem: 322
 values: [66,574,607,867,729,448,99,866,818,640,661,310,415,810,508]

-problem: 323
 values: [80,511,498,329,560,264,263,579,262,205,900,155,54,213,211,984,326,531,224]

-problem: 324
 values: [684,897]

-problem: 325
 values: [871,552,70,542,188,217,895,29,259,975,734,983,483,968,215,864,582,822]

-problem: 326
 values: [339,442,163,607,950,752,992,4,933,717,310,885]

-problem: 327
 values: [956,913,475,397,296,812,480,732,23]

-problem: 328
 values: [54,101,55,316,815,22,179,278,542,162,820,479,93]

-problem: 329
 values: [709,152,850,191,74,13,760]

-problem: 330
 values: [322,116,205,20,686,374,927,956,601,125,977,934,239,595,79,299,655,282]

-problem: 331
 values: [264,515]

-problem: 332
 values: [759,156,179,526,612,450,172,202,703,597,62,38]

-problem: 333
 values: [846]

-problem: 334
 values: [897,278,881,847,576,649,190,629,471,914,963,519,933,698]

-problem: 335
 values: [351,908,696,666,462,292,214,483,631,129,174,203,115,539,187]

-problem: 336
 values: [730]

-problem: 337
 values: [228]

-problem: 338
 values: [358,263,782,450,917,934,639,949,309,970,926,432,602]

-problem: 339
 values: [820]

-problem: 340
 values: [199,622,321,268,391,721]

-problem: 341
 values: [191,39,772,729,157,924,933,430,853,149,894,146]

-problem: 342
 values: [624,592,276,725,85,35,469,273]

-problem: 343
 values: [948,151,200,496,385,637,933]

-problem: 344
 values: [598,690,93,257,849,817,821,573,113,196,149,389,17,679]

-problem: 345
 values: [270,563,647,765,728,178,167,560,804,935,125,972,334,940,978,204,917,318]

-problem: 346
 values: [298,151,737,813,585,641]

-problem: 347
 values: [735,324]

-problem: 348
 values: [750,25,495,179,285,269,114,272,644,2,275]

-problem: 349
 values: [468,225,871,209,815,731,983,10,839,562,677,722,571,374,285,429,439,180,994]

-problem: 350
 values: [1]

-problem: 351
 values: [562,17,920,607,913,408,637,745,334]

-problem: 352
 values: [257,245,719,778,978,245,164,549,845,295,609,361]

-problem: 353
 values: [919]

-problem: 354
 values: [350,55,885,771,99]

-problem: 355
 values: [231,798,79,728,248,255,459,931,428,979,739]

-problem: 356
 values: [883,290,737,485,638]
